"id","challenge_id","organization_id","role"
"1","1","75","sponsor"
"2","2","28","data_contributor"
"3","2","45","data_contributor"
"4","2","151","data_contributor"
"5","2","52","sponsor"
"6","3","154","data_contributor"
"7","3","118","data_contributor"
"8","3","17","data_contributor"
"9","3","142","data_contributor"
"10","4","150","data_contributor"
"11","4","52","data_contributor"
"12","4","131","sponsor"
"13","5","134","challenge_organizer"
"14","5","132","challenge_organizer"
"15","5","211","challenge_organizer"
"16","5","101","data_contributor"
"17","6","54","challenge_organizer"
"18","6","146","challenge_organizer"
"19","6","171","challenge_organizer"
"20","6","227","challenge_organizer"
"21","6","27","challenge_organizer"
"22","6","128","challenge_organizer"
"23","6","93","challenge_organizer"
"24","6","179","challenge_organizer"
"25","6","89","challenge_organizer"
"26","6","73","challenge_organizer"
"27","6","170","challenge_organizer"
"28","6","119","challenge_organizer"
"29","6","171","sponsor"
"30","6","93","sponsor"
"31","6","57","sponsor"
"32","6","146","sponsor"
"33","6","120","sponsor"
"34","7","171","challenge_organizer"
"35","7","128","challenge_organizer"
"36","7","93","challenge_organizer"
"37","7","71","challenge_organizer"
"38","7","89","challenge_organizer"
"39","7","73","challenge_organizer"
"40","7","170","challenge_organizer"
"41","7","150","challenge_organizer"
"42","7","130","challenge_organizer"
"43","8","171","challenge_organizer"
"44","8","206","challenge_organizer"
"45","8","128","challenge_organizer"
"46","8","93","challenge_organizer"
"47","8","56","challenge_organizer"
"48","8","37","challenge_organizer"
"49","8","25","challenge_organizer"
"50","8","78","challenge_organizer"
"51","8","125","challenge_organizer"
"52","8","23","challenge_organizer"
"53","8","55","data_contributor"
"54","8","24","sponsor"
"55","8","125","sponsor"
"56","8","145","sponsor"
"57","8","181","sponsor"
"58","8","93","sponsor"
"59","9","171","challenge_organizer"
"60","9","150","challenge_organizer"
"61","9","128","challenge_organizer"
"62","9","93","challenge_organizer"
"63","9","197","challenge_organizer"
"64","9","149","challenge_organizer"
"65","9","23","challenge_organizer"
"66","9","99","data_contributor"
"67","10","165","challenge_organizer"
"68","10","171","challenge_organizer"
"69","10","128","challenge_organizer"
"70","10","93","challenge_organizer"
"71","10","23","challenge_organizer"
"72","10","122","challenge_organizer"
"73","10","122","data_contributor"
"74","10","122","sponsor"
"75","10","93","sponsor"
"76","10","171","sponsor"
"77","10","165","sponsor"
"78","11","171","challenge_organizer"
"79","11","150","challenge_organizer"
"80","11","128","challenge_organizer"
"81","11","41","challenge_organizer"
"82","11","58","challenge_organizer"
"83","11","205","challenge_organizer"
"84","11","93","challenge_organizer"
"85","11","23","challenge_organizer"
"86","11","41","data_contributor"
"87","11","58","data_contributor"
"88","11","46","sponsor"
"89","11","109","sponsor"
"90","12","107","challenge_organizer"
"91","12","171","challenge_organizer"
"92","12","204","challenge_organizer"
"93","12","128","challenge_organizer"
"94","12","93","challenge_organizer"
"95","12","38","challenge_organizer"
"96","12","223","challenge_organizer"
"97","12","119","challenge_organizer"
"98","12","23","challenge_organizer"
"99","12","82","challenge_organizer"
"100","12","169","data_contributor"
"101","12","18","data_contributor"
"102","12","94","data_contributor"
"103","12","19","sponsor"
"104","12","39","sponsor"
"105","12","74","sponsor"
"106","12","153","sponsor"
"107","12","164","sponsor"
"108","12","168","sponsor"
"109","12","172","sponsor"
"110","12","181","sponsor"
"111","13","206","challenge_organizer"
"112","13","167","challenge_organizer"
"113","13","171","challenge_organizer"
"114","13","93","challenge_organizer"
"115","13","128","challenge_organizer"
"116","13","23","challenge_organizer"
"117","13","167","data_contributor"
"118","13","100","sponsor"
"119","13","93","sponsor"
"120","13","171","sponsor"
"121","13","1","sponsor"
"122","14","58","challenge_organizer"
"123","14","93","challenge_organizer"
"124","14","124","challenge_organizer"
"125","14","155","challenge_organizer"
"126","14","157","challenge_organizer"
"127","14","171","challenge_organizer"
"128","14","188","challenge_organizer"
"129","14","196","challenge_organizer"
"130","14","199","challenge_organizer"
"131","14","219","challenge_organizer"
"132","14","26","data_contributor"
"133","14","47","data_contributor"
"134","14","172","data_contributor"
"135","14","124","data_contributor"
"136","14","157","sponsor"
"137","14","131","sponsor"
"138","14","21","sponsor"
"139","15","128","challenge_organizer"
"140","15","93","challenge_organizer"
"141","15","171","challenge_organizer"
"142","15","118","challenge_organizer"
